Index;year_date_naissance;sexe;Revenus K;Enfant ?;Conduite accompagnée ?;usage_vehicule;type_vehicule;Rouge ?;points_perdus;age_vehicule;type_conduite;mm_yy_date_demande;formule;Tarif
241;1981;F;50K-75K;FAUX;FAUX;Private;Minivan;FAUX;0;15; Urban;01/05/2022;express;200-299
242;1960;M;75K-100K;FAUX;FAUX;Commercial;SUV;FAUX;0;7; Urban;01/02/2022;express;200-299
243;1940;F;-25K;FAUX;FAUX;Commercial;Pickup;VRAI;0;11; Urban;01/03/2022;express;200-299
244;1945;F;75K-100K;VRAI;VRAI;Private;Sports Car;FAUX;6;12; Urban;01/05/2022;express;200-299
245;2013;M;25K-50K;VRAI;FAUX;Private;SUV;FAUX;3;5; Urban;01/05/2022;integral;200-299
246;1937;F;;FAUX;FAUX;Private;Van;VRAI;3;12; Urban;01/01/2022;integral;200-299
247;1990;M;50K-75K;VRAI;VRAI;Commercial;Pickup;FAUX;0;7; Urban;01/05/2022;premium;400-499
248;2015;M;-25K;VRAI;FAUX;Commercial;Van;VRAI;0;1; Rural;01/01/2022;integral;300-399
249;1987;M;25K-50K;FAUX;FAUX;Private;Pickup;VRAI;0;10; Urban;01/04/2022;integral;300-399
250;1993;F;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;2;15; Urban;01/04/2022;integral;200-299
251;2006;M;100K-125K;FAUX;FAUX;Private;SUV;FAUX;1;20; Urban;01/01/2022;integral;300-399
252;1987;F;50K-75K;FAUX;FAUX;Commercial;SUV;FAUX;5;12; Rural;01/05/2022;express;200-299
253;1969;M;25K-50K;FAUX;FAUX;Commercial;Minivan;FAUX;3;6; Urban;01/01/2022;premium;400-499
254;1966;F;125K-150K;FAUX;FAUX;Private;Van;VRAI;0;18; Urban;01/02/2022;express;200-299
255;2016;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;8; Urban;01/04/2022;integral;300-399
256;1963;M;75K-100K;VRAI;FAUX;Commercial;Van;VRAI;2;; Rural;01/05/2022;premium;400-499
257;1965;M;;VRAI;FAUX;Private;Minivan;FAUX;0;16; Urban;01/02/2022;integral;300-399
258;2002;F;25K-50K;VRAI;VRAI;Private;Minivan;FAUX;0;5; Urban;01/02/2022;express;200-299
259;1937;F;-25K;FAUX;FAUX;Private;Minivan;VRAI;0;1; Rural;01/03/2022;premium;400-499
260;1954;F;25K-50K;FAUX;FAUX;Commercial;Panel Truck;FAUX;4;10; Urban;01/02/2022;express;200-299
261;2014;F;50K-75K;FAUX;FAUX;Commercial;Panel Truck;FAUX;5;8; Urban;01/04/2022;integral;300-399
262;1944;F;75K-100K;VRAI;FAUX;Commercial;Van;VRAI;1;9; Urban;01/02/2022;express;200-299
263;2015;M;150K-175K;FAUX;FAUX;Commercial;Pickup;FAUX;0;17; Urban;01/03/2022;integral;200-299
264;2010;M;75K-100K;FAUX;FAUX;Commercial;Van;FAUX;7;10; Urban;01/03/2022;express;200-299
265;1947;M;-25K;FAUX;FAUX;Private;SUV;FAUX;4;; Urban;01/05/2022;integral;300-399
266;1967;M;50K-75K;FAUX;FAUX;Private;SUV;FAUX;1;7; Urban;01/04/2022;integral;300-399
267;1973;M;75K-100K;FAUX;FAUX;Private;SUV;FAUX;1;1; Rural;01/01/2022;premium;300-399
268;2009;M;150K-175K;FAUX;FAUX;Commercial;Panel Truck;FAUX;4;11; Urban;01/03/2022;express;200-299
269;1953;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;0;12; Urban;01/01/2022;integral;300-399
270;1965;F;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;4;13; Urban;01/05/2022;premium;300-399
271;1988;F;25K-50K;FAUX;FAUX;Commercial;Sports Car;FAUX;4;12; Urban;01/02/2022;integral;300-399
272;1955;M;175K-200K;FAUX;FAUX;Commercial;Pickup;FAUX;3;13; Urban;01/02/2022;express;200-299
273;1981;F;75K-100K;FAUX;FAUX;Commercial;Van;FAUX;3;8; Urban;01/04/2022;integral;300-399
274;2001;M;50K-75K;FAUX;FAUX;Private;Van;FAUX;0;1; Urban;01/01/2022;express;200-299
275;1974;M;50K-75K;VRAI;FAUX;Private;SUV;FAUX;2;1; Urban;01/04/2022;express;200-299
276;1938;F;75K-100K;FAUX;FAUX;Commercial;Panel Truck;FAUX;5;10; Urban;01/04/2022;express;200-299
277;1988;M;75K-100K;VRAI;VRAI;Commercial;Pickup;FAUX;4;8; Urban;01/01/2022;integral;300-399
278;1965;M;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;5;1; Urban;01/03/2022;express;200-299
279;2000;M;125K-150K;FAUX;FAUX;Commercial;Panel Truck;FAUX;3;20; Urban;01/03/2022;integral;300-399
280;1951;M;-25K;FAUX;FAUX;Private;SUV;FAUX;3;2; Urban;01/01/2022;integral;200-299
281;1966;M;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;0;12; Urban;01/05/2022;integral;300-399
282;2018;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;5;11; Urban;01/01/2022;premium;500-599
283;2018;F;50K-75K;FAUX;FAUX;Private;Sports Car;FAUX;0;12; Rural;01/03/2022;integral;300-399
284;1978;F;25K-50K;FAUX;FAUX;Private;Minivan;VRAI;4;11; Urban;01/04/2022;integral;300-399
285;1938;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/02/2022;integral;300-399
286;2006;F;25K-50K;FAUX;FAUX;Private;Pickup;VRAI;2;1; Urban;01/01/2022;integral;300-399
287;1983;F;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;0;10; Rural;01/01/2022;integral;300-399
288;1952;M;;FAUX;FAUX;Private;Minivan;FAUX;2;7; Urban;01/01/2022;integral;300-399
289;1947;F;275K-300K;FAUX;FAUX;Commercial;Panel Truck;VRAI;0;17; Urban;01/02/2022;express;200-299
290;1964;M;75K-100K;VRAI;FAUX;Private;Pickup;FAUX;1;14; Urban;01/01/2022;premium;500-599
291;1966;M;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;4;9; Urban;01/03/2022;express;200-299
292;2006;M;50K-75K;FAUX;FAUX;Private;Pickup;FAUX;0;8; Urban;01/03/2022;integral;300-399
293;2020;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;3;; Urban;01/03/2022;integral;300-399
294;2017;M;50K-75K;FAUX;FAUX;Commercial;Van;VRAI;0;4; Urban;01/05/2022;integral;300-399
295;2001;F;25K-50K;VRAI;FAUX;Private;SUV;FAUX;1;1; Urban;01/05/2022;express;200-299
296;1977;F;75K-100K;VRAI;FAUX;Private;SUV;FAUX;0;11; Urban;01/05/2022;integral;300-399
297;2010;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;6;; Urban;01/04/2022;premium;500-599
298;1934;F;100K-125K;VRAI;VRAI;Private;Minivan;VRAI;1;11; Urban;01/02/2022;express;200-299
299;1955;F;50K-75K;FAUX;FAUX;Private;Pickup;VRAI;2;10; Urban;01/04/2022;integral;200-299
300;2004;F;25K-50K;VRAI;FAUX;Commercial;Panel Truck;FAUX;1;21; Urban;01/03/2022;express;200-299
301;1979;M;-25K;FAUX;FAUX;Commercial;Sports Car;FAUX;0;1; Rural;01/05/2022;integral;200-299
302;2020;F;75K-100K;VRAI;FAUX;Private;Pickup;FAUX;0;10; Rural;01/04/2022;integral;200-299
303;1973;F;-25K;VRAI;FAUX;Private;SUV;FAUX;0;1; Rural;01/05/2022;express;200-299
304;1954;F;-25K;VRAI;VRAI;Private;Minivan;VRAI;3;1; Urban;01/05/2022;integral;300-399
305;1943;F;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;0;10; Rural;01/03/2022;express;200-299
306;1954;F;200K-225K;FAUX;FAUX;Private;Sports Car;FAUX;0;12; Urban;01/01/2022;express;200-299
307;2013;M;125K-150K;FAUX;FAUX;Commercial;Pickup;VRAI;4;20; Urban;01/01/2022;express;200-299
308;1951;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;3; Urban;01/05/2022;express;200-299
309;2005;F;50K-75K;FAUX;FAUX;Private;Minivan;FAUX;0;11; Urban;01/02/2022;premium;400-499
310;1971;F;125K-150K;FAUX;FAUX;Commercial;Panel Truck;VRAI;5;19; Urban;01/01/2022;express;200-299
311;1976;F;-25K;FAUX;FAUX;Commercial;Minivan;FAUX;0;11; Rural;01/05/2022;express;200-299
312;1988;M;25K-50K;FAUX;FAUX;Commercial;Sports Car;VRAI;0;7; Urban;01/05/2022;express;200-299
313;1985;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;8; Rural;01/05/2022;premium;400-499
314;1957;M;25K-50K;VRAI;VRAI;Private;Sports Car;FAUX;2;1; Urban;01/05/2022;integral;300-399
315;1962;F;125K-150K;VRAI;FAUX;Private;Pickup;FAUX;2;12; Urban;01/04/2022;integral;300-399
316;2003;M;-25K;FAUX;FAUX;Private;Minivan;FAUX;0;1; Urban;01/02/2022;integral;300-399
317;1941;M;100K-125K;FAUX;FAUX;Private;Minivan;VRAI;0;11; Urban;01/04/2022;premium;300-399
318;2012;F;25K-50K;FAUX;FAUX;Commercial;Panel Truck;FAUX;0;7; Urban;01/03/2022;integral;200-299
319;1974;F;-25K;VRAI;FAUX;Private;SUV;FAUX;0;5; Rural;01/01/2022;express;200-299
320;1939;M;;VRAI;VRAI;Private;Pickup;VRAI;0;9; Rural;01/03/2022;integral;300-399
321;1962;F;125K-150K;FAUX;FAUX;Private;Van;VRAI;0;14; Urban;01/01/2022;integral;300-399
322;1931;F;-25K;VRAI;VRAI;Private;SUV;FAUX;0;4; Rural;01/04/2022;integral;300-399
323;1950;F;75K-100K;FAUX;FAUX;Private;Sports Car;FAUX;0;6; Urban;01/01/2022;integral;300-399
324;1979;F;-25K;VRAI;FAUX;Commercial;Pickup;FAUX;7;1; Rural;01/05/2022;express;200-299
325;1968;F;25K-50K;VRAI;FAUX;Private;SUV;FAUX;6;1; Urban;01/05/2022;express;200-299
326;2018;M;75K-100K;FAUX;FAUX;Commercial;Minivan;FAUX;3;1; Urban;01/02/2022;express;200-299
327;1951;F;75K-100K;FAUX;FAUX;Private;Minivan;VRAI;2;19; Urban;01/02/2022;integral;300-399
328;1962;F;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;3;12; Urban;01/03/2022;integral;300-399
329;1970;F;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;1;1; Urban;01/03/2022;integral;300-399
330;1963;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;1;9; Rural;01/05/2022;premium;400-499
331;1973;F;50K-75K;FAUX;FAUX;Private;Pickup;VRAI;2;9; Urban;01/01/2022;vip;600-699
332;1942;M;-25K;VRAI;VRAI;Private;Minivan;VRAI;0;1; Urban;01/02/2022;express;200-299
333;1988;M;25K-50K;FAUX;FAUX;Private;Sports Car;FAUX;0;4; Urban;01/02/2022;express;200-299
334;1971;M;25K-50K;VRAI;FAUX;Commercial;Van;VRAI;0;7; Rural;01/04/2022;integral;200-299
335;1958;F;50K-75K;VRAI;FAUX;Commercial;Minivan;FAUX;5;9; Urban;01/03/2022;integral;300-399
336;1976;F;75K-100K;VRAI;FAUX;Private;SUV;FAUX;0;20; Urban;01/03/2022;express;200-299
337;2006;M;50K-75K;FAUX;FAUX;Private;Sports Car;FAUX;0;15; Urban;01/02/2022;integral;200-299
338;1973;M;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;0;7; Urban;01/05/2022;integral;300-399
339;1984;M;100K-125K;VRAI;FAUX;Commercial;SUV;FAUX;0;9; Urban;01/04/2022;integral;200-299
340;1993;F;-25K;VRAI;VRAI;Private;Sports Car;FAUX;3;6; Urban;01/01/2022;express;200-299
341;1962;M;100K-125K;VRAI;FAUX;Commercial;Panel Truck;FAUX;4;8; Urban;01/03/2022;express;200-299
342;1942;M;25K-50K;VRAI;FAUX;Commercial;Sports Car;FAUX;0;1; Urban;01/01/2022;integral;300-399
343;1988;M;50K-75K;FAUX;FAUX;Private;SUV;FAUX;7;1; Urban;01/05/2022;integral;300-399
344;1949;M;25K-50K;FAUX;FAUX;Commercial;Minivan;FAUX;3;5; Urban;01/04/2022;integral;200-299
345;1968;M;100K-125K;FAUX;FAUX;Commercial;Van;VRAI;1;8; Urban;01/01/2022;integral;300-399
346;1968;M;100K-125K;FAUX;FAUX;Private;SUV;FAUX;2;; Urban;01/03/2022;premium;400-499
347;2000;F;50K-75K;FAUX;FAUX;Commercial;Panel Truck;FAUX;10;14; Urban;01/02/2022;express;200-299
348;2003;F;100K-125K;VRAI;FAUX;Commercial;Panel Truck;FAUX;3;3; Urban;01/03/2022;integral;200-299
349;1942;F;-25K;FAUX;FAUX;Private;Minivan;FAUX;0;10; Urban;01/04/2022;express;200-299
350;1988;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;0;1; Rural;01/01/2022;integral;300-399
351;1936;F;100K-125K;VRAI;VRAI;Private;Minivan;FAUX;4;10; Urban;01/01/2022;vip;600-699
352;1994;M;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;0;13; Urban;01/01/2022;integral;300-399
353;1956;M;75K-100K;VRAI;FAUX;Commercial;SUV;FAUX;1;1; Urban;01/01/2022;integral;300-399
354;1941;F;150K-175K;FAUX;FAUX;Private;Sports Car;FAUX;8;20; Urban;01/05/2022;integral;300-399
355;1943;M;75K-100K;VRAI;FAUX;Commercial;Panel Truck;FAUX;0;1; Rural;01/03/2022;integral;300-399
356;1974;F;75K-100K;VRAI;FAUX;Private;Minivan;FAUX;2;18; Urban;01/01/2022;express;200-299
357;1970;F;;FAUX;FAUX;Private;SUV;FAUX;0;25; Urban;01/04/2022;integral;200-299
358;1993;M;100K-125K;VRAI;FAUX;Commercial;Panel Truck;VRAI;0;19; Urban;01/05/2022;integral;300-399
359;2018;M;25K-50K;VRAI;FAUX;Private;Pickup;VRAI;0;17; Urban;01/05/2022;express;200-299
360;1971;F;50K-75K;FAUX;FAUX;Commercial;Pickup;VRAI;2;11; Rural;01/01/2022;integral;300-399
361;1966;F;50K-75K;FAUX;FAUX;Private;Van;FAUX;3;13; Urban;01/05/2022;express;200-299
362;1951;M;25K-50K;VRAI;FAUX;Commercial;SUV;FAUX;0;8; Rural;01/03/2022;premium;400-499
363;2004;M;25K-50K;VRAI;FAUX;Commercial;SUV;FAUX;1;5; Urban;01/05/2022;express;200-299
364;1969;F;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;0;1; Rural;01/01/2022;premium;500-599
365;1998;M;-25K;VRAI;FAUX;Commercial;SUV;FAUX;3;1; Urban;01/01/2022;integral;200-299
366;1960;M;;VRAI;FAUX;Private;Minivan;VRAI;1;; Urban;01/05/2022;integral;300-399
367;1983;F;25K-50K;VRAI;FAUX;Private;Minivan;VRAI;4;8; Rural;01/04/2022;integral;200-299
368;1961;F;125K-150K;FAUX;FAUX;Private;SUV;FAUX;0;9; Urban;01/02/2022;express;200-299
369;1954;F;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;7; Rural;01/01/2022;express;200-299
370;2014;M;25K-50K;VRAI;FAUX;Private;Sports Car;FAUX;0;13; Urban;01/02/2022;premium;400-499
371;1989;F;-25K;VRAI;VRAI;Private;SUV;FAUX;0;10; Urban;01/01/2022;express;200-299
372;1963;M;;FAUX;FAUX;Private;Minivan;VRAI;0;; Urban;01/01/2022;integral;300-399
373;1938;M;25K-50K;FAUX;FAUX;Commercial;Panel Truck;FAUX;2;8; Rural;01/05/2022;integral;300-399
374;1973;F;-25K;VRAI;FAUX;Private;Minivan;FAUX;3;1; Urban;01/03/2022;integral;300-399
375;1972;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;3;; Urban;01/04/2022;express;200-299
376;1978;M;25K-50K;VRAI;FAUX;Private;SUV;FAUX;3;6; Urban;01/05/2022;express;200-299
377;1955;F;25K-50K;VRAI;FAUX;Private;SUV;FAUX;0;11; Urban;01/01/2022;premium;400-499
378;2002;M;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;0;21; Urban;01/05/2022;integral;300-399
379;1952;M;25K-50K;VRAI;VRAI;Private;Minivan;VRAI;1;8; Urban;01/01/2022;integral;300-399
380;1967;F;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;; Urban;01/04/2022;integral;300-399
381;2011;M;150K-175K;VRAI;FAUX;Private;Minivan;FAUX;1;18; Urban;01/01/2022;express;200-299
382;1945;M;50K-75K;FAUX;FAUX;Commercial;Van;VRAI;2;7; Urban;01/01/2022;express;200-299
383;1955;M;125K-150K;FAUX;FAUX;Commercial;Van;FAUX;3;16; Urban;01/03/2022;integral;300-399
384;1949;M;125K-150K;FAUX;FAUX;Private;Sports Car;FAUX;0;14; Urban;01/01/2022;premium;400-499
385;2012;M;75K-100K;VRAI;FAUX;Commercial;SUV;FAUX;0;11; Urban;01/05/2022;integral;200-299
386;1957;F;25K-50K;VRAI;FAUX;Commercial;SUV;FAUX;3;4; Urban;01/04/2022;express;200-299
387;2010;M;125K-150K;FAUX;FAUX;Private;Minivan;FAUX;4;19; Urban;01/02/2022;express;200-299
388;1933;F;;FAUX;FAUX;Private;Pickup;FAUX;0;14; Urban;01/03/2022;integral;200-299
389;1983;M;25K-50K;FAUX;FAUX;Private;SUV;FAUX;0;5; Rural;01/01/2022;express;200-299
390;1950;M;100K-125K;VRAI;FAUX;Private;Minivan;VRAI;0;16; Urban;01/02/2022;express;200-299
391;1981;F;100K-125K;VRAI;VRAI;Private;SUV;FAUX;0;12; Urban;01/04/2022;integral;200-299
392;1985;F;;FAUX;FAUX;Private;Sports Car;FAUX;1;15; Urban;01/03/2022;integral;300-399
393;1979;F;-25K;FAUX;FAUX;Commercial;Minivan;FAUX;2;11; Urban;01/05/2022;express;200-299
394;1975;M;100K-125K;FAUX;FAUX;Commercial;Panel Truck;VRAI;1;7; Urban;01/01/2022;express;200-299
395;1951;F;100K-125K;FAUX;FAUX;Private;Van;VRAI;0;3; Urban;01/03/2022;express;200-299
396;1945;M;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;3;8; Urban;01/01/2022;express;200-299
397;1985;F;50K-75K;VRAI;VRAI;Commercial;Pickup;FAUX;1;8; Urban;01/02/2022;premium;400-499
398;1931;M;-25K;FAUX;FAUX;Private;SUV;FAUX;0;16; Rural;01/04/2022;premium;300-399
399;1945;M;-25K;FAUX;FAUX;Private;SUV;FAUX;2;10; Urban;01/02/2022;express;200-299
400;1951;M;75K-100K;VRAI;VRAI;Commercial;Minivan;FAUX;0;9; Rural;01/04/2022;integral;200-299
401;2009;F;;FAUX;FAUX;Commercial;Sports Car;FAUX;7;1; Urban;01/02/2022;integral;300-399
402;2019;M;125K-150K;FAUX;FAUX;Commercial;Panel Truck;FAUX;0;5; Urban;01/04/2022;integral;300-399
403;1934;M;-25K;VRAI;FAUX;Private;SUV;FAUX;8;5; Urban;01/01/2022;express;200-299
404;1958;M;250K-275K;FAUX;FAUX;Commercial;Panel Truck;FAUX;0;16; Urban;01/01/2022;express;200-299
405;1964;M;200K-225K;FAUX;FAUX;Commercial;Panel Truck;VRAI;5;19; Urban;01/01/2022;express;200-299
406;2019;F;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;0;7; Urban;01/04/2022;integral;200-299
407;2002;F;75K-100K;VRAI;FAUX;Commercial;SUV;FAUX;0;8; Urban;01/02/2022;integral;200-299
408;2013;M;75K-100K;VRAI;FAUX;Private;Minivan;FAUX;2;9; Urban;01/04/2022;premium;300-399
409;1983;M;;FAUX;FAUX;Commercial;Van;VRAI;1;14; Urban;01/03/2022;premium;300-399
410;1960;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/02/2022;premium;300-399
411;1959;M;25K-50K;VRAI;FAUX;Commercial;Van;VRAI;2;1; Urban;01/03/2022;integral;300-399
412;1973;M;100K-125K;FAUX;FAUX;Private;Sports Car;FAUX;0;14; Urban;01/03/2022;express;200-299
413;1942;F;75K-100K;FAUX;FAUX;Private;Pickup;FAUX;0;; Urban;01/04/2022;premium;400-499
414;2014;F;-25K;FAUX;FAUX;Private;SUV;FAUX;2;16; Rural;01/01/2022;premium;400-499
415;1946;M;75K-100K;FAUX;FAUX;Commercial;Pickup;FAUX;0;16; Urban;01/02/2022;integral;200-299
416;1967;F;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;0;; Urban;01/03/2022;express;200-299
417;1972;M;-25K;FAUX;FAUX;Private;Pickup;FAUX;1;1; Urban;01/05/2022;integral;300-399
418;1985;F;-25K;VRAI;FAUX;Private;SUV;FAUX;7;1; Urban;01/03/2022;integral;300-399
419;1950;M;-25K;FAUX;FAUX;Private;Pickup;FAUX;6;1; Urban;01/03/2022;express;200-299
420;1987;F;;VRAI;FAUX;Commercial;Panel Truck;VRAI;0;1; Urban;01/01/2022;integral;300-399
421;1954;M;25K-50K;VRAI;VRAI;Commercial;Pickup;VRAI;5;1; Urban;01/05/2022;integral;300-399
422;2007;M;75K-100K;FAUX;FAUX;Private;Van;FAUX;11;16; Urban;01/04/2022;integral;300-399
423;1957;M;-25K;FAUX;FAUX;Private;Minivan;FAUX;2;1; Rural;01/04/2022;integral;300-399
424;1940;M;75K-100K;FAUX;FAUX;Commercial;Minivan;VRAI;6;7; Urban;01/03/2022;integral;300-399
425;1934;F;75K-100K;FAUX;FAUX;Private;Sports Car;FAUX;0;12; Urban;01/04/2022;express;200-299
426;1976;M;75K-100K;FAUX;FAUX;Commercial;SUV;FAUX;1;7; Rural;01/04/2022;premium;400-499
427;1981;M;-25K;VRAI;VRAI;Commercial;Minivan;FAUX;0;5; Urban;01/03/2022;premium;500-599
428;1964;F;50K-75K;FAUX;FAUX;Private;Minivan;FAUX;2;1; Urban;01/04/2022;integral;300-399
429;1960;F;100K-125K;FAUX;FAUX;Commercial;Panel Truck;FAUX;6;18; Urban;01/05/2022;express;200-299
430;1952;F;25K-50K;VRAI;VRAI;Private;SUV;FAUX;4;11; Rural;01/04/2022;integral;300-399
431;1975;F;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;3;1; Urban;01/01/2022;express;200-299
432;2003;M;50K-75K;FAUX;FAUX;Commercial;Panel Truck;VRAI;1;4; Rural;01/05/2022;vip;900-999
433;1931;F;;FAUX;FAUX;Commercial;Pickup;VRAI;0;17; Urban;01/01/2022;integral;200-299
434;2014;F;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;15; Urban;01/04/2022;express;200-299
435;1950;F;50K-75K;FAUX;FAUX;Commercial;Panel Truck;VRAI;5;; Urban;01/02/2022;integral;300-399
436;1965;F;-25K;FAUX;FAUX;Commercial;Pickup;VRAI;0;1; Urban;01/04/2022;express;200-299
437;1940;F;75K-100K;FAUX;FAUX;Commercial;Pickup;FAUX;3;13; Urban;01/02/2022;express;200-299
438;1964;F;25K-50K;VRAI;FAUX;Private;Van;VRAI;0;12; Urban;01/04/2022;integral;300-399
439;1944;M;-25K;VRAI;FAUX;Commercial;SUV;FAUX;2;6; Urban;01/02/2022;premium;400-499
440;1963;F;-25K;VRAI;FAUX;Private;Sports Car;FAUX;0;9; Urban;01/01/2022;integral;200-299
441;1994;F;-25K;FAUX;FAUX;Commercial;Pickup;VRAI;0;1; Urban;01/03/2022;premium;300-399
442;1951;F;;FAUX;FAUX;Private;Pickup;FAUX;0;; Urban;01/03/2022;integral;300-399
443;1973;F;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;0;19; Urban;01/05/2022;integral;300-399
444;1936;F;50K-75K;VRAI;FAUX;Commercial;SUV;FAUX;0;7; Urban;01/03/2022;express;200-299
445;1950;M;-25K;FAUX;FAUX;Private;SUV;FAUX;2;15; Urban;01/04/2022;express;200-299
446;1943;F;100K-125K;FAUX;FAUX;Commercial;Pickup;VRAI;3;1; Urban;01/04/2022;integral;300-399
447;1975;M;75K-100K;VRAI;FAUX;Private;SUV;FAUX;4;9; Urban;01/05/2022;integral;200-299
448;1959;M;-25K;VRAI;FAUX;Private;SUV;FAUX;1;6; Urban;01/03/2022;integral;200-299
449;1954;F;-25K;VRAI;VRAI;Private;SUV;FAUX;2;1; Urban;01/03/2022;express;200-299
450;1940;F;50K-75K;VRAI;FAUX;Private;Sports Car;FAUX;0;12; Urban;01/01/2022;express;200-299
451;1995;M;;FAUX;FAUX;Commercial;Pickup;VRAI;7;4; Urban;01/01/2022;express;200-299
452;1932;F;-25K;VRAI;FAUX;Private;SUV;FAUX;1;8; Urban;01/03/2022;integral;300-399
453;1971;F;125K-150K;FAUX;FAUX;Private;SUV;FAUX;0;20; Urban;01/02/2022;premium;400-499
454;1985;M;50K-75K;FAUX;FAUX;Commercial;Van;FAUX;0;4; Urban;01/03/2022;express;200-299
455;1999;F;25K-50K;VRAI;FAUX;Commercial;Minivan;FAUX;0;10; Urban;01/05/2022;express;200-299
456;1987;F;75K-100K;FAUX;FAUX;Commercial;Pickup;FAUX;0;; Urban;01/03/2022;integral;200-299
457;1971;F;75K-100K;FAUX;FAUX;Commercial;Van;VRAI;5;1; Urban;01/02/2022;integral;300-399
458;1987;F;-25K;VRAI;FAUX;Private;Sports Car;FAUX;2;8; Urban;01/04/2022;premium;400-499
459;1996;M;150K-175K;FAUX;FAUX;Private;Pickup;VRAI;0;1; Urban;01/03/2022;integral;200-299
460;1987;M;75K-100K;VRAI;VRAI;Private;Minivan;VRAI;1;1; Urban;01/01/2022;integral;200-299
461;1965;M;-25K;FAUX;FAUX;Private;SUV;FAUX;0;9; Rural;01/03/2022;premium;300-399
462;1976;M;75K-100K;FAUX;FAUX;Private;Sports Car;FAUX;1;5; Urban;01/04/2022;express;200-299
463;1990;M;75K-100K;FAUX;FAUX;Commercial;Panel Truck;FAUX;0;12; Urban;01/02/2022;express;200-299
464;1965;F;50K-75K;FAUX;FAUX;Private;Minivan;FAUX;2;11; Urban;01/04/2022;integral;200-299
465;1949;M;-25K;VRAI;VRAI;Commercial;Pickup;FAUX;0;5; Rural;01/05/2022;integral;200-299
466;1937;M;50K-75K;FAUX;FAUX;Commercial;Pickup;VRAI;1;12; Rural;01/03/2022;express;200-299
467;2022;F;200K-225K;VRAI;VRAI;Commercial;Van;VRAI;0;; Urban;01/05/2022;express;200-299
468;2012;F;75K-100K;FAUX;FAUX;Commercial;Panel Truck;FAUX;1;; Urban;01/01/2022;premium;400-499
469;2004;F;-25K;FAUX;FAUX;Private;SUV;FAUX;2;6; Urban;01/05/2022;integral;300-399
470;1966;F;-25K;VRAI;VRAI;Commercial;Minivan;FAUX;6;1; Urban;01/01/2022;integral;300-399
471;1968;F;-25K;VRAI;FAUX;Private;SUV;FAUX;7;6; Urban;01/05/2022;express;200-299
472;1995;M;75K-100K;FAUX;FAUX;Private;Minivan;VRAI;1;9; Urban;01/03/2022;express;200-299
473;2000;M;25K-50K;VRAI;FAUX;Private;SUV;FAUX;7;4; Urban;01/01/2022;premium;400-499
474;2017;F;50K-75K;VRAI;FAUX;Private;Pickup;FAUX;2;9; Urban;01/04/2022;integral;300-399
475;1966;M;-25K;FAUX;FAUX;Private;SUV;FAUX;1;1; Urban;01/05/2022;express;200-299
476;2002;F;-25K;VRAI;FAUX;Private;SUV;FAUX;8;1; Urban;01/03/2022;express;200-299
477;1947;F;-25K;FAUX;FAUX;Private;SUV;FAUX;1;8; Urban;01/03/2022;integral;300-399
478;1995;M;100K-125K;FAUX;FAUX;Commercial;Panel Truck;VRAI;0;18; Urban;01/04/2022;integral;200-299
479;1994;M;150K-175K;FAUX;FAUX;Private;Minivan;FAUX;0;11; Urban;01/04/2022;integral;300-399
480;1955;F;50K-75K;FAUX;FAUX;Commercial;Pickup;VRAI;1;6; Urban;01/04/2022;express;200-299
481;1952;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;1; Rural;01/05/2022;integral;300-399
